capacitance_in_uf;width_in_mm;multiplier_1;height_in_mm;multiplier_2;length_in_mm;p1_in_mm;ordering code;i_rms_max_85degree_in_A;ESR_85degree_in_mOhm;ESL_in_nH;tan_delta_max_1kHz_in_e-3;tan_delta_max_10kHz_in_e-3;MOQ;V_R_85degree;V_op_105degree;V_op_125degree
50.0;35.0;x;50.0;x;57.5;20.3;B32718P3506K000;16.8;4.6;17.0;2.6;23.0;108;675;675;450
55.0;38.0;x;57.5;x;57.5;20.3;B32718P3556+000;19.1;4.1;18.0;2.6;23.4;96;675;675;450
60.0;38.0;x;57.5;x;57.5;20.3;B32718P3606+000;19.7;3.8;19.0;2.6;23.5;96;675;675;450
65.0;45.0;x;55.0;x;57.5;20.3;B32718P3656+000;21.7;3.5;19.0;2.7;23.6;140;675;675;450
70.0;45.0;x;57.0;x;57.5;20.3;B32718P3706+000;22.5;3.3;19.0;2.7;23.8;140;675;675;450
75.0;45.0;x;57.0;x;57.5;20.3;B32718P3756K000;22.8;3.2;20.0;2.7;23.8;140;675;675;450
80.0;45.0;x;65.0;x;57.5;20.3;B32718P3806+000;24.2;2.9;22.0;2.7;24.4;140;675;675;450
85.0;45.0;x;65.0;x;57.5;20.3;B32718P3856+000;24.9;2.8;23.0;2.7;24.6;140;675;675;450
25.0;30.0;x;45.0;x;57.5;20.3;B32718P7256+000;12.5;7.3;14.0;2.3;19.5;280;750;750;600
30.0;30.0;x;45.0;x;57.5;20.3;B32718P7306K000;13.2;6.6;15.0;2.3;19.6;280;750;750;600
35.0;35.0;x;50.0;x;57.5;20.3;B32718P7356+000;15.6;5.5;16.0;2.3;19.9;108;750;750;600
40.0;35.0;x;50.0;x;57.5;20.3;B32718P7406K000;16.3;5.0;17.0;2.3;20.0;108;750;750;600
45.0;38.0;x;57.5;x;57.5;20.3;B32718P7456+000;18.4;4.3;19.0;2.3;20.3;96;750;750;600
50.0;38.0;x;57.5;x;57.5;20.3;B32718P7506K000;19.1;4.0;20.0;2.3;20.4;96;750;750;600
55.0;45.0;x;55.0;x;57.5;20.3;B32718P7556+000;21.0;3.6;19.0;2.3;20.5;140;750;750;600
60.0;45.0;x;57.0;x;57.5;20.3;B32718P7606K000;21.7;3.5;20.0;2.4;20.7;140;750;750;600
65.0;45.0;x;65.0;x;57.5;20.3;B32718P7656+000;23.6;3.1;22.0;2.4;21.1;140;750;750;600
22.0;30.0;x;45.0;x;57.5;20.3;B32718P8226+000;12.1;7.7;14.0;2.1;17.8;280;825;825;660
25.0;30.0;x;45.0;x;57.5;20.3;B32718P8256K000;12.6;7.2;15.0;2.1;17.8;280;825;825;660
27.0;35.0;x;50.0;x;57.5;20.3;B32718P8276+000;14.5;6.2;16.0;2.1;18.0;108;825;825;660
30.0;35.0;x;50.0;x;57.5;20.3;B32718P8306+000;15.1;5.8;17.0;2.1;18.0;108;825;825;660
35.0;38.0;x;57.5;x;57.5;20.3;B32718P8356+000;17.3;5.0;18.0;2.1;18.3;96;825;825;660
40.0;38.0;x;57.5;x;57.5;20.3;B32718P8406+000;18.4;4.4;20.0;2.1;18.4;96;825;825;660
45.0;45.0;x;57.0;x;57.5;20.3;B32718P8456+000;20.5;4.0;19.0;2.2;18.6;140;825;825;660
